Frequency (Hz)	Level (dB)
283.203125	-66.252457
284.179688	-67.229500
285.156250	-65.613380
286.132812	-65.267120
287.109375	-65.829865
288.085938	-64.158867
289.062500	-64.747391
290.039062	-65.013962
291.015625	-64.917656
291.992188	-64.816849
292.968750	-64.794815
293.945312	-64.494797
294.921875	-65.526031
295.898438	-66.272980
296.875000	-66.075386
297.851562	-67.047127
298.828125	-66.442162
299.804688	-66.432838
300.781250	-67.617813
301.757812	-67.461266
302.734375	-66.250130
303.710938	-67.731308
304.687500	-68.600723
305.664062	-67.854073
306.640625	-67.230995
307.617188	-68.618889
308.593750	-69.283195
309.570312	-67.753960
310.546875	-69.760719
311.523438	-70.082100
312.500000	-69.121552
313.476562	-70.031578
314.453125	-69.313644
315.429688	-70.091438
316.406250	-70.373985
317.382812	-70.351418
318.359375	-70.483856
319.335938	-72.299179
320.312500	-72.165062
321.289062	-72.480179
322.265625	-72.652046
323.242188	-72.404060
324.218750	-71.933678
325.195312	-73.528488
326.171875	-73.548767
327.148438	-72.981964
328.125000	-74.279503
329.101562	-72.062614
330.078125	-73.152145
331.054688	-72.745277
332.031250	-73.609085
333.007812	-73.736870
333.984375	-73.920441
334.960938	-74.032486
335.937500	-74.536240
336.914062	-74.712532
337.890625	-74.325607
338.867188	-75.121704
339.843750	-75.724060
340.820312	-75.007881
341.796875	-76.077927
342.773438	-75.253418
343.750000	-74.138023
344.726562	-75.821724
345.703125	-75.628784
346.679688	-76.059700
347.656250	-76.078896
348.632812	-75.775658
349.609375	-76.995277
350.585938	-77.713036
351.562500	-74.947441
352.539062	-75.890205
353.515625	-75.489594
354.492188	-75.658592
355.468750	-75.975258
356.445312	-76.789825
357.421875	-77.133728
358.398438	-79.060524
359.375000	-76.529533
360.351562	-77.300507
361.328125	-78.136848
362.304688	-77.511826
363.281250	-76.961914
364.257812	-77.087845
365.234375	-78.231750
366.210938	-79.265884
367.187500	-77.886887
368.164062	-78.894524
369.140625	-77.200226
370.117188	-77.760063
371.093750	-78.157143
372.070312	-78.520119
373.046875	-77.408386
374.023438	-77.769409
375.000000	-77.640480
375.976562	-78.288383
376.953125	-78.715187
377.929688	-78.665756
378.906250	-78.203568
379.882812	-78.296738
380.859375	-78.918358
381.835938	-78.624451
382.812500	-78.250893
383.789062	-78.955696
384.765625	-78.576424
385.742188	-79.417404
386.718750	-78.966118
387.695312	-79.826996
388.671875	-78.948227
389.648438	-78.211594
390.625000	-78.150589
391.601562	-80.091309
392.578125	-80.131935
393.554688	-78.761330
394.531250	-80.376839
395.507812	-79.443634
396.484375	-79.136101
397.460938	-80.101273
