Frequency (Hz)	Level (dB)
283.203125	-78.306999
284.179688	-79.410110
285.156250	-77.888031
286.132812	-77.612091
287.109375	-78.128265
288.085938	-76.506783
289.062500	-77.297974
290.039062	-77.506996
291.015625	-77.461342
291.992188	-77.135262
292.968750	-76.830162
293.945312	-76.626472
294.921875	-77.291786
295.898438	-77.789040
296.875000	-76.939644
297.851562	-77.587250
298.828125	-76.930237
299.804688	-76.562180
300.781250	-77.179443
301.757812	-76.442734
302.734375	-75.055687
303.710938	-76.154129
304.687500	-76.660614
305.664062	-75.688858
306.640625	-74.371765
307.617188	-75.677795
308.593750	-75.604492
309.570312	-73.857033
310.546875	-75.376991
311.523438	-75.381233
312.500000	-73.910278
313.476562	-74.333702
314.453125	-72.861855
315.429688	-73.113487
316.406250	-73.375885
317.382812	-72.773468
318.359375	-72.310089
319.335938	-73.694748
320.312500	-73.488548
321.289062	-73.358757
322.265625	-73.067375
323.242188	-72.099876
324.218750	-71.517265
325.195312	-72.664505
326.171875	-72.116676
327.148438	-71.121735
328.125000	-72.133484
329.101562	-69.451279
330.078125	-70.071129
331.054688	-69.429245
332.031250	-69.592125
333.007812	-69.509857
333.984375	-69.137520
334.960938	-68.882713
335.937500	-69.165764
336.914062	-68.728691
337.890625	-68.035812
338.867188	-68.311386
339.843750	-68.527908
340.820312	-67.592323
341.796875	-68.022408
342.773438	-67.127052
343.750000	-65.424698
344.726562	-66.504974
345.703125	-66.283722
346.679688	-66.151901
347.656250	-65.920120
348.632812	-65.478035
349.609375	-66.045357
350.585938	-66.620255
351.562500	-63.842121
352.539062	-64.412277
353.515625	-64.064247
354.492188	-64.020012
355.468750	-63.925636
356.445312	-65.033287
357.421875	-65.497673
358.398438	-67.244759
359.375000	-65.149132
360.351562	-65.547798
361.328125	-66.676384
362.304688	-66.194260
363.281250	-65.642181
364.257812	-65.959358
365.234375	-67.312973
366.210938	-68.246239
367.187500	-67.127716
368.164062	-68.396957
369.140625	-66.829773
370.117188	-67.846649
371.093750	-68.180763
372.070312	-68.495995
373.046875	-67.973900
374.023438	-68.296150
375.000000	-68.582832
375.976562	-69.129608
376.953125	-69.715988
377.929688	-70.165955
378.906250	-69.486763
379.882812	-69.801552
380.859375	-70.786461
381.835938	-70.792824
382.812500	-70.448578
383.789062	-71.445282
384.765625	-70.990891
385.742188	-72.066963
386.718750	-71.882256
387.695312	-72.744843
388.671875	-72.406120
389.648438	-71.401627
390.625000	-71.483727
391.601562	-73.628387
392.578125	-73.718689
393.554688	-72.520065
394.531250	-74.197517
395.507812	-73.431923
396.484375	-73.071251
397.460938	-74.403305
398.437500	-74.027840
399.414062	-73.555862
400.390625	-74.384285
401.367188	-74.548706
402.343750	-74.853844
403.320312	-73.275063
404.296875	-73.298317
405.273438	-76.228333
406.250000	-75.912842
407.226562	-75.083740
408.203125	-75.576729
409.179688	-75.706100
410.156250	-76.616394
411.132812	-75.740952
412.109375	-75.791222
413.085938	-74.868958
414.062500	-76.266914
415.039062	-76.275124
416.015625	-75.711113
416.992188	-76.199486
417.968750	-77.222275
418.945312	-76.347023
419.921875	-77.670197
420.898438	-75.871178
421.875000	-76.792946
422.851562	-76.538101
423.828125	-77.305916
424.804688	-75.824677
425.781250	-76.175659
426.757812	-77.170906
427.734375	-77.909737
428.710938	-77.990425
429.687500	-78.126511
430.664062	-77.472290
431.640625	-75.864136
432.617188	-77.635231
433.593750	-78.068657
434.570312	-78.664078
435.546875	-77.930984
436.523438	-78.405136
437.500000	-76.041962
438.476562	-77.748489
439.453125	-77.583260
440.429688	-78.890923
441.406250	-78.230972
442.382812	-78.226532
443.359375	-78.502258
444.335938	-78.369896
445.312500	-79.114182
446.289062	-79.092239
447.265625	-77.811142
448.242188	-78.822372
449.218750	-77.415977
450.195312	-79.401894
451.171875	-78.419212
452.148438	-79.268158
453.125000	-79.742416
454.101562	-78.830070
455.078125	-78.538689
456.054688	-78.945099
457.031250	-79.644592
458.007812	-79.411057
458.984375	-79.325661
459.960938	-79.094437
460.937500	-78.355270
461.914062	-79.236786
462.890625	-78.852478
463.867188	-79.803055
464.843750	-79.506180
465.820312	-79.359093
466.796875	-78.730453
467.773438	-79.248909
468.750000	-79.275764
469.726562	-78.323448
470.703125	-78.892822
471.679688	-80.276443
472.656250	-79.303146
