Frequency (Hz)	Level (dB)
283.203125	-74.223755
284.179688	-75.327965
285.156250	-73.811554
286.132812	-74.126228
287.109375	-74.446083
288.085938	-72.706924
289.062500	-73.576332
290.039062	-73.795776
291.015625	-73.380035
291.992188	-73.543533
292.968750	-73.042953
293.945312	-72.336075
294.921875	-73.078506
295.898438	-73.744423
296.875000	-73.796898
297.851562	-73.831795
298.828125	-73.317444
299.804688	-73.059891
300.781250	-73.694878
301.757812	-72.746674
302.734375	-71.360222
303.710938	-72.471283
304.687500	-72.878418
305.664062	-72.126961
306.640625	-71.021278
307.617188	-71.903023
308.593750	-71.708824
309.570312	-70.223640
310.546875	-71.614449
311.523438	-71.989456
312.500000	-70.438461
313.476562	-71.084030
314.453125	-69.283226
315.429688	-69.639366
316.406250	-69.970474
317.382812	-69.647545
318.359375	-68.862610
319.335938	-70.168854
320.312500	-69.411301
321.289062	-69.378609
322.265625	-68.693314
323.242188	-68.068604
324.218750	-67.414200
325.195312	-67.895172
326.171875	-67.757271
327.148438	-66.490623
328.125000	-67.229408
329.101562	-64.600441
330.078125	-64.911575
331.054688	-64.301857
332.031250	-64.249298
333.007812	-64.119339
333.984375	-63.705715
334.960938	-63.452198
335.937500	-63.648418
336.914062	-63.143555
337.890625	-62.658501
338.867188	-62.667782
339.843750	-62.971241
340.820312	-62.201565
341.796875	-62.784721
342.773438	-62.160477
343.750000	-60.923161
344.726562	-62.406521
345.703125	-62.431801
346.679688	-62.687710
347.656250	-62.848202
348.632812	-63.235653
349.609375	-64.042099
350.585938	-65.030342
351.562500	-62.890770
352.539062	-63.840572
353.515625	-63.939800
354.492188	-64.245712
355.468750	-64.924126
356.445312	-65.959702
357.421875	-66.755035
358.398438	-68.533379
359.375000	-66.642342
360.351562	-67.702065
361.328125	-68.305443
362.304688	-68.329758
363.281250	-67.991127
364.257812	-68.452316
365.234375	-69.314758
366.210938	-70.882492
367.187500	-69.439560
368.164062	-70.660828
369.140625	-68.834358
370.117188	-69.681351
371.093750	-70.211998
372.070312	-70.750343
373.046875	-70.055229
374.023438	-70.531792
375.000000	-70.477165
375.976562	-70.863731
376.953125	-71.202080
377.929688	-71.839851
378.906250	-71.253426
379.882812	-71.437614
380.859375	-72.114624
381.835938	-72.060738
382.812500	-71.892097
383.789062	-72.700485
384.765625	-72.561584
385.742188	-72.647469
386.718750	-72.776299
387.695312	-73.660210
388.671875	-73.207108
389.648438	-72.758842
390.625000	-72.132545
391.601562	-74.089073
392.578125	-74.225632
393.554688	-73.123451
394.531250	-74.224426
395.507812	-74.061569
396.484375	-73.496475
397.460938	-74.264252
398.437500	-74.019066
399.414062	-73.639938
400.390625	-74.659988
401.367188	-74.390594
402.343750	-73.965607
403.320312	-72.906013
404.296875	-72.940971
405.273438	-75.970848
406.250000	-74.998856
407.226562	-74.471886
408.203125	-74.749611
409.179688	-74.913254
410.156250	-75.865486
411.132812	-75.118713
412.109375	-74.791405
413.085938	-73.997665
414.062500	-75.285690
415.039062	-75.082802
416.015625	-74.073105
416.992188	-74.797737
417.968750	-75.798317
418.945312	-74.749725
419.921875	-75.990364
420.898438	-74.230820
421.875000	-74.713264
422.851562	-74.590065
423.828125	-75.299538
424.804688	-73.862625
425.781250	-74.137077
426.757812	-74.890564
427.734375	-76.139610
428.710938	-75.481857
429.687500	-75.595146
430.664062	-74.515297
431.640625	-73.314964
432.617188	-75.109032
433.593750	-75.136154
434.570312	-75.644882
435.546875	-74.492958
436.523438	-75.660667
437.500000	-72.643982
438.476562	-74.084839
439.453125	-74.290848
