Frequency (Hz)	Level (dB)
283.203125	-87.480759
284.179688	-88.193352
285.156250	-87.181404
286.132812	-87.182167
287.109375	-87.631226
288.085938	-86.237129
289.062500	-87.681763
290.039062	-87.357979
291.015625	-87.335846
291.992188	-87.296631
292.968750	-87.161232
293.945312	-87.308983
294.921875	-87.858963
295.898438	-88.849747
296.875000	-88.435951
297.851562	-89.353096
298.828125	-88.183151
299.804688	-87.599419
300.781250	-89.557831
301.757812	-88.183784
302.734375	-87.040154
303.710938	-88.152428
304.687500	-88.722626
305.664062	-87.802628
306.640625	-86.988503
307.617188	-88.156517
308.593750	-88.152016
309.570312	-86.598991
310.546875	-88.520279
311.523438	-89.272812
312.500000	-87.229912
313.476562	-88.282265
314.453125	-87.298149
315.429688	-87.870323
316.406250	-87.656288
317.382812	-87.323608
318.359375	-87.519012
319.335938	-88.421722
320.312500	-88.656273
321.289062	-88.635101
322.265625	-88.425697
323.242188	-87.844353
324.218750	-87.865173
325.195312	-88.545296
326.171875	-88.548447
327.148438	-88.059525
328.125000	-88.863731
329.101562	-86.699936
330.078125	-87.757385
331.054688	-87.478828
332.031250	-87.650414
333.007812	-87.642334
333.984375	-87.822090
334.960938	-87.418671
335.937500	-87.864243
336.914062	-88.329567
337.890625	-87.123001
338.867188	-88.015335
339.843750	-88.587769
340.820312	-87.976402
341.796875	-88.571129
342.773438	-87.950058
343.750000	-86.384933
344.726562	-87.680099
345.703125	-87.904442
346.679688	-87.965126
347.656250	-88.072144
348.632812	-87.526138
349.609375	-88.473648
350.585938	-88.972183
351.562500	-86.775909
352.539062	-87.557671
353.515625	-86.851768
354.492188	-86.527725
355.468750	-87.501945
356.445312	-88.398514
357.421875	-88.215004
358.398438	-89.965218
359.375000	-88.066597
360.351562	-87.446281
361.328125	-88.245331
362.304688	-87.870155
363.281250	-87.422539
364.257812	-87.823853
365.234375	-88.384224
366.210938	-89.439896
367.187500	-88.137314
368.164062	-88.827026
369.140625	-87.681114
370.117188	-87.813309
371.093750	-88.141396
372.070312	-88.179016
373.046875	-87.404999
374.023438	-87.343948
375.000000	-87.825195
375.976562	-87.874290
376.953125	-87.827042
377.929688	-87.873146
378.906250	-87.429268
379.882812	-87.479416
380.859375	-88.304398
381.835938	-88.365440
382.812500	-87.339882
383.789062	-88.284332
384.765625	-87.417557
385.742188	-88.393753
386.718750	-87.891418
387.695312	-88.818420
388.671875	-88.007973
389.648438	-86.852287
390.625000	-87.015305
391.601562	-89.040619
392.578125	-88.875923
393.554688	-87.317863
394.531250	-88.375404
395.507812	-87.802559
396.484375	-87.526947
397.460938	-88.849533
398.437500	-87.988197
399.414062	-87.434921
400.390625	-88.214325
401.367188	-87.879868
402.343750	-88.195076
403.320312	-86.606712
404.296875	-86.528305
405.273438	-89.474930
406.250000	-88.444473
407.226562	-87.711067
408.203125	-88.263054
409.179688	-88.230911
410.156250	-88.676811
411.132812	-88.538788
412.109375	-88.184242
413.085938	-87.455582
414.062500	-88.501785
415.039062	-88.132423
416.015625	-87.671394
416.992188	-87.646561
417.968750	-88.606033
418.945312	-87.645294
419.921875	-89.011978
420.898438	-87.139420
421.875000	-87.509911
422.851562	-87.705719
423.828125	-87.861237
424.804688	-86.539261
425.781250	-86.652344
426.757812	-87.776360
427.734375	-88.441841
428.710938	-88.399277
429.687500	-88.355942
430.664062	-87.621750
431.640625	-85.946007
432.617188	-87.674446
433.593750	-87.798462
434.570312	-88.608459
435.546875	-87.932915
436.523438	-88.216805
437.500000	-85.389549
438.476562	-87.234116
439.453125	-87.080017
440.429688	-88.620621
441.406250	-87.432144
442.382812	-87.518349
443.359375	-87.409988
444.335938	-87.589828
445.312500	-87.857368
446.289062	-88.136238
447.265625	-86.710205
448.242188	-87.694664
449.218750	-86.558556
450.195312	-87.856590
451.171875	-87.310677
452.148438	-87.673981
453.125000	-88.602219
454.101562	-87.567703
455.078125	-87.387924
456.054688	-87.249741
457.031250	-87.737701
458.007812	-87.798981
458.984375	-87.442299
459.960938	-87.267868
460.937500	-86.580643
461.914062	-87.490707
462.890625	-87.074165
463.867188	-87.394257
464.843750	-87.487427
465.820312	-87.188583
466.796875	-86.727089
467.773438	-87.019463
468.750000	-86.961739
469.726562	-85.966629
470.703125	-86.307373
471.679688	-87.876648
472.656250	-86.711349
473.632812	-87.485794
474.609375	-87.994675
475.585938	-88.380615
476.562500	-87.152092
477.539062	-87.284088
478.515625	-87.104889
479.492188	-87.830132
480.468750	-86.944153
481.445312	-86.740311
482.421875	-87.930359
483.398438	-86.573563
484.375000	-87.081146
485.351562	-87.167221
486.328125	-87.304390
487.304688	-87.286423
488.281250	-87.805771
489.257812	-85.481415
490.234375	-85.943283
491.210938	-86.986061
492.187500	-88.358955
493.164062	-85.453438
494.140625	-86.749634
495.117188	-86.926117
496.093750	-86.076210
497.070312	-87.647873
498.046875	-87.233650
499.023438	-87.181847
500.000000	-87.921425
500.976562	-86.286789
501.953125	-85.927597
502.929688	-87.412758
503.906250	-87.594025
504.882812	-86.915230
505.859375	-86.264481
506.835938	-85.936989
507.812500	-85.849136
508.789062	-87.082703
509.765625	-87.245728
510.742188	-85.850662
511.718750	-86.661728
512.695312	-86.168976
513.671875	-87.016502
514.648438	-86.621010
515.625000	-85.809204
516.601562	-86.413406
517.578125	-87.277824
518.554688	-85.693932
519.531250	-86.868340
520.507812	-87.009819
521.484375	-86.439919
522.460938	-86.118462
523.437500	-86.175095
524.414062	-86.949883
525.390625	-87.108757
526.367188	-86.608757
527.343750	-87.489563
528.320312	-87.004089
529.296875	-86.048462
530.273438	-87.095398
531.250000	-85.400932
532.226562	-85.232536
533.203125	-85.083496
534.179688	-86.634689
535.156250	-85.928535
536.132812	-85.548927
537.109375	-86.615356
538.085938	-86.278503
539.062500	-85.452187
540.039062	-85.969131
541.015625	-86.397820
541.992188	-85.723343
542.968750	-85.240067
543.945312	-86.133766
544.921875	-85.906174
545.898438	-86.558266
546.875000	-86.713928
547.851562	-85.305023
548.828125	-85.595245
549.804688	-86.402031
550.781250	-85.349663
551.757812	-85.950104
552.734375	-85.273811
553.710938	-85.323082
554.687500	-84.838455
555.664062	-85.272789
556.640625	-84.741524
557.617188	-85.139191
558.593750	-85.323174
559.570312	-84.977959
560.546875	-85.523895
561.523438	-85.385841
562.500000	-85.700226
563.476562	-84.442589
564.453125	-84.798599
565.429688	-85.636765
566.406250	-85.996216
567.382812	-84.812424
568.359375	-85.184738
569.335938	-85.194618
570.312500	-84.337631
571.289062	-85.811394
572.265625	-85.308586
573.242188	-85.093430
574.218750	-86.541344
575.195312	-85.506599
576.171875	-85.200874
577.148438	-84.476730
578.125000	-85.211166
579.101562	-85.964905
580.078125	-85.753410
581.054688	-85.217323
582.031250	-84.585068
583.007812	-84.486931
583.984375	-86.078156
584.960938	-85.911743
585.937500	-84.593872
586.914062	-84.127220
587.890625	-84.949371
588.867188	-84.298660
589.843750	-84.459763
590.820312	-84.207642
591.796875	-84.884216
592.773438	-84.098236
593.750000	-84.188957
594.726562	-84.473656
595.703125	-85.212860
596.679688	-84.320290
597.656250	-84.053635
598.632812	-84.872772
599.609375	-83.160545
600.585938	-84.624634
601.562500	-84.201218
602.539062	-84.116562
603.515625	-84.646057
604.492188	-84.749191
605.468750	-84.501251
606.445312	-84.301208
607.421875	-83.441849
608.398438	-85.512825
609.375000	-84.384590
610.351562	-83.455734
611.328125	-84.425285
612.304688	-83.927635
613.281250	-84.799362
614.257812	-83.714943
615.234375	-83.288017
616.210938	-83.860481
617.187500	-83.489189
618.164062	-83.377106
619.140625	-84.351891
620.117188	-83.498154
621.093750	-83.276268
622.070312	-83.191795
623.046875	-83.851898
624.023438	-83.550644
625.000000	-82.505287
625.976562	-83.224792
626.953125	-83.045013
627.929688	-83.128395
628.906250	-84.143082
629.882812	-83.561157
630.859375	-83.269958
631.835938	-83.544044
632.812500	-82.729294
633.789062	-82.537033
634.765625	-84.015411
635.742188	-82.508751
636.718750	-82.564056
637.695312	-83.025322
638.671875	-82.118874
639.648438	-82.424217
640.625000	-82.807274
641.601562	-83.071266
642.578125	-82.080544
643.554688	-82.009972
644.531250	-81.785110
645.507812	-81.367065
646.484375	-83.082695
647.460938	-83.146553
648.437500	-81.376846
649.414062	-82.137413
650.390625	-82.390823
651.367188	-81.239807
652.343750	-80.751564
653.320312	-81.765198
654.296875	-81.561928
655.273438	-81.482979
656.250000	-82.099251
657.226562	-82.547684
658.203125	-81.681236
659.179688	-82.503563
660.156250	-81.811996
661.132812	-82.110535
662.109375	-81.876701
663.085938	-80.679222
664.062500	-81.115150
665.039062	-80.369614
666.015625	-81.005013
666.992188	-82.284737
667.968750	-81.944542
668.945312	-81.605850
669.921875	-81.764412
670.898438	-81.256348
671.875000	-80.677650
672.851562	-80.362785
673.828125	-81.286240
674.804688	-81.274338
675.781250	-82.267654
676.757812	-80.487312
677.734375	-80.981018
678.710938	-81.334091
679.687500	-81.502022
680.664062	-79.506828
681.640625	-79.572212
682.617188	-79.546974
683.593750	-79.451263
684.570312	-80.180420
685.546875	-79.612785
686.523438	-80.028503
687.500000	-80.436073
688.476562	-80.160698
689.453125	-79.027512
690.429688	-80.963974
691.406250	-80.562996
692.382812	-79.592552
693.359375	-79.427177
694.335938	-80.000252
695.312500	-80.309128
696.289062	-81.328514
697.265625	-79.259369
698.242188	-79.441551
699.218750	-80.642365
700.195312	-79.715073
701.171875	-78.596848
702.148438	-79.172241
703.125000	-78.477806
704.101562	-77.703690
705.078125	-78.938164
706.054688	-78.506996
707.031250	-78.755447
708.007812	-79.236748
708.984375	-78.828186
709.960938	-78.932587
710.937500	-77.727669
711.914062	-77.804588
712.890625	-78.483887
713.867188	-77.019608
714.843750	-78.766998
715.820312	-77.379028
716.796875	-77.871231
717.773438	-77.857483
718.750000	-77.654266
719.726562	-78.441803
720.703125	-77.652229
721.679688	-77.013412
722.656250	-77.654984
723.632812	-77.422005
724.609375	-76.941322
725.585938	-76.426086
726.562500	-76.475334
727.539062	-77.550690
728.515625	-76.772369
729.492188	-77.838905
730.468750	-76.687851
731.445312	-76.189354
732.421875	-76.932007
733.398438	-77.048378
734.375000	-75.658669
735.351562	-76.958267
736.328125	-76.531418
737.304688	-76.338242
738.281250	-75.648163
739.257812	-75.568184
740.234375	-75.458351
741.210938	-76.504738
742.187500	-74.231392
743.164062	-73.967064
744.140625	-76.112991
745.117188	-75.025169
746.093750	-74.510872
747.070312	-74.689621
748.046875	-74.669655
749.023438	-75.593971
750.000000	-75.598129
750.976562	-74.522751
751.953125	-74.054497
752.929688	-75.374962
753.906250	-74.805878
754.882812	-73.842346
755.859375	-74.243286
756.835938	-74.691521
757.812500	-74.153336
758.789062	-73.790443
759.765625	-73.179070
760.742188	-73.877144
761.718750	-73.798607
762.695312	-73.687996
763.671875	-73.781807
764.648438	-72.506996
765.625000	-73.011368
766.601562	-73.031258
767.578125	-73.044022
768.554688	-71.656387
769.531250	-72.353531
770.507812	-71.984695
771.484375	-71.981178
772.460938	-73.410194
773.437500	-72.465324
774.414062	-72.179176
775.390625	-70.874535
776.367188	-72.318100
777.343750	-71.308113
778.320312	-71.239044
779.296875	-71.269890
780.273438	-72.153168
781.250000	-72.461578
782.226562	-71.988800
783.203125	-70.819908
784.179688	-70.459572
785.156250	-69.515999
786.132812	-69.981499
787.109375	-70.153091
788.085938	-68.630547
789.062500	-69.941597
790.039062	-69.716454
791.015625	-70.410080
791.992188	-68.947952
792.968750	-68.937309
793.945312	-68.530365
794.921875	-69.178452
795.898438	-68.823807
796.875000	-68.423378
797.851562	-67.846443
798.828125	-67.127869
799.804688	-66.821564
800.781250	-67.913368
801.757812	-67.750404
802.734375	-67.961006
803.710938	-67.816177
804.687500	-68.150780
805.664062	-67.559364
806.640625	-67.729576
807.617188	-67.351311
808.593750	-66.845612
809.570312	-66.654572
810.546875	-67.202950
811.523438	-68.274414
812.500000	-67.407158
813.476562	-66.071838
814.453125	-66.965912
815.429688	-67.139435
816.406250	-66.288185
817.382812	-67.338181
818.359375	-66.150047
819.335938	-66.981163
820.312500	-66.495399
821.289062	-66.889145
822.265625	-67.647675
823.242188	-66.506287
824.218750	-67.098427
825.195312	-66.809891
826.171875	-67.665810
827.148438	-65.944489
828.125000	-67.621292
829.101562	-67.753387
830.078125	-67.412201
831.054688	-67.252701
832.031250	-66.808365
833.007812	-67.514076
833.984375	-67.627655
834.960938	-68.175430
835.937500	-68.196747
836.914062	-67.622833
837.890625	-68.960442
838.867188	-68.319931
839.843750	-69.027016
840.820312	-69.361397
841.796875	-68.164955
842.773438	-68.694206
843.750000	-69.374100
844.726562	-68.255699
845.703125	-70.002022
846.679688	-69.947945
847.656250	-68.479378
848.632812	-68.636421
849.609375	-69.167084
850.585938	-69.521873
851.562500	-70.108704
852.539062	-69.782112
853.515625	-70.237511
854.492188	-69.913986
855.468750	-70.312401
856.445312	-70.237122
857.421875	-70.102165
858.398438	-70.754265
859.375000	-70.473038
860.351562	-70.363457
861.328125	-71.252724
862.304688	-71.030670
863.281250	-71.947792
864.257812	-70.949547
865.234375	-71.992584
866.210938	-71.168434
867.187500	-72.171967
868.164062	-71.272781
869.140625	-71.650002
870.117188	-71.179672
871.093750	-71.795670
872.070312	-71.423645
873.046875	-71.867126
874.023438	-71.873276
875.000000	-73.166740
875.976562	-72.332054
876.953125	-72.851486
877.929688	-73.485779
878.906250	-73.089493
879.882812	-73.193939
880.859375	-72.549988
881.835938	-72.292290
882.812500	-73.725349
883.789062	-73.497162
884.765625	-73.674751
885.742188	-73.584290
886.718750	-73.291389
887.695312	-73.981659
888.671875	-73.345085
889.648438	-72.309563
890.625000	-75.036392
891.601562	-74.900497
892.578125	-75.162331
893.554688	-75.144150
894.531250	-74.664642
895.507812	-74.978455
896.484375	-75.054108
897.460938	-75.347504
898.437500	-76.017151
899.414062	-75.478127
900.390625	-74.731964
