Frequency (Hz)	Level (dB)
283.203125	-68.157227
284.179688	-69.549393
285.156250	-68.433304
286.132812	-68.289871
287.109375	-69.466919
288.085938	-68.297852
289.062500	-69.292679
290.039062	-69.802231
291.015625	-69.788765
291.992188	-69.939026
292.968750	-70.046082
293.945312	-70.069633
294.921875	-70.985413
295.898438	-71.791298
296.875000	-71.792923
297.851562	-72.738129
298.828125	-72.100624
299.804688	-71.939766
300.781250	-72.821457
301.757812	-72.724800
302.734375	-71.582863
303.710938	-72.876205
304.687500	-73.624535
305.664062	-72.898552
306.640625	-72.312180
307.617188	-73.231544
308.593750	-74.024620
309.570312	-72.458130
310.546875	-74.078224
311.523438	-74.468895
312.500000	-73.285698
313.476562	-73.895546
314.453125	-73.180748
315.429688	-73.893692
316.406250	-74.093102
317.382812	-74.134315
318.359375	-74.322678
319.335938	-75.535736
320.312500	-75.448318
321.289062	-75.545845
322.265625	-75.696701
323.242188	-75.239853
324.218750	-75.121140
325.195312	-76.363220
326.171875	-76.253044
327.148438	-75.365036
328.125000	-76.785034
329.101562	-74.669632
330.078125	-75.463310
331.054688	-74.965637
332.031250	-75.468262
333.007812	-76.019180
333.984375	-75.717979
334.960938	-75.977135
335.937500	-76.551476
336.914062	-76.599800
337.890625	-76.128807
338.867188	-76.887657
339.843750	-77.556717
340.820312	-76.583275
341.796875	-77.599159
342.773438	-76.958664
343.750000	-75.592934
344.726562	-77.041306
345.703125	-77.118965
346.679688	-77.081085
347.656250	-77.253777
348.632812	-77.016815
349.609375	-78.108734
350.585938	-78.494057
351.562500	-76.101578
352.539062	-76.776039
353.515625	-76.381111
354.492188	-76.372482
355.468750	-76.421280
356.445312	-77.367821
357.421875	-78.013985
358.398438	-79.665176
359.375000	-77.066628
360.351562	-77.664803
361.328125	-78.524460
362.304688	-77.838234
363.281250	-77.586227
364.257812	-77.362534
365.234375	-78.363953
366.210938	-79.696419
367.187500	-78.394218
368.164062	-79.044838
369.140625	-77.340576
370.117188	-78.157898
371.093750	-78.310852
372.070312	-78.465462
373.046875	-77.578049
374.023438	-77.747932
375.000000	-77.782623
375.976562	-78.133125
376.953125	-78.157616
377.929688	-78.353416
378.906250	-77.731277
379.882812	-77.980675
380.859375	-78.486099
381.835938	-78.391098
382.812500	-77.537071
383.789062	-78.828308
384.765625	-78.050713
385.742188	-78.924728
386.718750	-78.333870
387.695312	-79.324944
388.671875	-78.610565
389.648438	-77.421837
390.625000	-77.423210
391.601562	-79.645187
392.578125	-79.077873
393.554688	-77.582100
394.531250	-79.563339
395.507812	-78.253410
396.484375	-77.735680
397.460938	-78.899712
398.437500	-78.538094
399.414062	-77.633530
400.390625	-78.875519
401.367188	-78.713242
402.343750	-78.479950
403.320312	-77.159142
404.296875	-77.097282
405.273438	-79.699524
406.250000	-78.832230
407.226562	-78.078697
408.203125	-78.321457
409.179688	-78.549103
410.156250	-79.142738
411.132812	-78.655968
412.109375	-78.641815
413.085938	-77.401802
414.062500	-78.767998
