Frequency (Hz)	Level (dB)
283.203125	-74.108643
284.179688	-75.447327
285.156250	-74.449112
286.132812	-74.080620
287.109375	-75.015739
288.085938	-73.766151
289.062500	-74.759399
290.039062	-75.206039
291.015625	-74.931610
291.992188	-74.753716
292.968750	-74.523277
293.945312	-74.821785
294.921875	-75.552063
295.898438	-76.245285
296.875000	-76.108498
297.851562	-77.075378
298.828125	-76.110443
299.804688	-75.797005
300.781250	-76.782761
301.757812	-76.723518
302.734375	-75.108170
303.710938	-76.344566
304.687500	-77.002075
305.664062	-76.133507
306.640625	-75.299843
307.617188	-76.469467
308.593750	-76.534431
309.570312	-75.265541
310.546875	-77.015038
311.523438	-76.916046
312.500000	-75.533592
313.476562	-76.062607
314.453125	-75.169189
315.429688	-75.765297
316.406250	-76.472725
317.382812	-75.741768
318.359375	-75.649277
319.335938	-76.797333
320.312500	-77.307014
321.289062	-76.986259
322.265625	-76.944855
323.242188	-76.424675
324.218750	-76.021606
325.195312	-77.601501
326.171875	-77.268433
327.148438	-76.435089
328.125000	-77.415863
329.101562	-75.055443
330.078125	-76.026733
331.054688	-75.766853
332.031250	-76.158752
333.007812	-76.616356
333.984375	-76.098579
334.960938	-75.956993
335.937500	-76.615097
336.914062	-76.696884
337.890625	-75.799309
338.867188	-76.475845
339.843750	-76.963394
340.820312	-76.038322
341.796875	-77.297890
342.773438	-76.368858
343.750000	-75.269867
344.726562	-76.772972
345.703125	-76.198647
346.679688	-76.309265
347.656250	-76.443504
348.632812	-76.080513
349.609375	-76.765862
350.585938	-77.374222
351.562500	-74.705254
352.539062	-75.438850
353.515625	-75.183662
354.492188	-75.079163
355.468750	-75.124107
356.445312	-75.792686
357.421875	-76.046722
358.398438	-77.533249
359.375000	-75.738770
360.351562	-75.757965
361.328125	-76.322731
362.304688	-75.879082
363.281250	-75.264824
364.257812	-75.581779
365.234375	-76.293053
366.210938	-77.409477
367.187500	-75.563606
368.164062	-76.479698
369.140625	-74.452789
370.117188	-75.260086
371.093750	-75.586418
372.070312	-75.785484
373.046875	-74.584076
374.023438	-74.601242
375.000000	-74.508766
375.976562	-74.838585
376.953125	-74.874947
377.929688	-74.888031
378.906250	-74.168861
379.882812	-74.172646
380.859375	-74.837616
381.835938	-74.418190
382.812500	-73.404373
383.789062	-74.796143
384.765625	-74.033195
385.742188	-74.746346
386.718750	-73.900803
387.695312	-74.725967
388.671875	-73.964958
389.648438	-72.367607
390.625000	-72.468857
391.601562	-74.345634
392.578125	-74.117897
393.554688	-72.681526
394.531250	-74.254242
395.507812	-73.155670
396.484375	-72.323120
397.460938	-73.187088
398.437500	-72.827515
399.414062	-71.939369
400.390625	-72.746071
401.367188	-72.132996
402.343750	-72.284454
403.320312	-70.753784
404.296875	-70.530342
405.273438	-73.304001
406.250000	-72.458672
407.226562	-71.179199
408.203125	-71.305916
409.179688	-71.167618
410.156250	-71.932831
411.132812	-70.868248
412.109375	-70.675430
413.085938	-69.397850
414.062500	-70.346886
415.039062	-70.258957
416.015625	-69.043030
416.992188	-68.753128
417.968750	-70.014107
418.945312	-68.610001
419.921875	-69.723984
420.898438	-67.813438
421.875000	-67.996033
422.851562	-67.542809
423.828125	-67.932510
424.804688	-66.057083
425.781250	-66.070862
426.757812	-66.740532
427.734375	-67.016869
428.710938	-67.065979
429.687500	-66.339394
430.664062	-65.430244
431.640625	-63.375618
432.617188	-65.053352
433.593750	-64.916939
434.570312	-65.065407
435.546875	-64.024338
436.523438	-64.140594
437.500000	-61.218327
438.476562	-62.612480
439.453125	-62.407001
440.429688	-63.315678
441.406250	-62.061798
442.382812	-61.938305
443.359375	-61.897881
444.335938	-61.758530
445.312500	-61.845879
446.289062	-61.547302
447.265625	-60.465683
448.242188	-61.611439
449.218750	-60.432159
450.195312	-62.231262
451.171875	-61.377804
452.148438	-62.147263
453.125000	-63.280258
454.101562	-62.437370
455.078125	-62.410629
456.054688	-62.930981
457.031250	-63.743504
458.007812	-63.797401
458.984375	-63.926765
459.960938	-64.218269
460.937500	-63.414082
461.914062	-64.846741
462.890625	-65.015999
463.867188	-65.645134
464.843750	-65.982399
465.820312	-66.191368
466.796875	-65.393456
467.773438	-66.573219
468.750000	-66.508385
469.726562	-65.954506
470.703125	-66.494667
471.679688	-68.187752
472.656250	-67.423431
473.632812	-68.380089
474.609375	-69.348343
475.585938	-69.805702
476.562500	-68.968765
477.539062	-69.329132
478.515625	-69.275749
479.492188	-70.532692
480.468750	-69.673370
481.445312	-69.528542
482.421875	-71.194092
483.398438	-69.741318
484.375000	-70.038658
485.351562	-70.625862
486.328125	-70.730919
487.304688	-71.057114
488.281250	-72.343521
489.257812	-69.870270
490.234375	-70.087753
491.210938	-71.345749
492.187500	-73.196198
493.164062	-70.365112
494.140625	-71.697647
495.117188	-72.057365
496.093750	-71.364204
497.070312	-72.905937
498.046875	-72.895828
499.023438	-72.804420
500.000000	-73.645370
500.976562	-71.823090
501.953125	-71.780479
502.929688	-73.417068
503.906250	-73.698265
504.882812	-73.258659
505.859375	-72.833168
506.835938	-72.736412
507.812500	-72.222115
508.789062	-74.187279
509.765625	-73.996315
510.742188	-72.745956
511.718750	-73.470566
512.695312	-73.069328
513.671875	-73.802002
514.648438	-73.944565
515.625000	-73.475281
516.601562	-74.207886
517.578125	-74.817558
518.554688	-73.172508
519.531250	-74.601959
520.507812	-74.539986
521.484375	-74.236938
522.460938	-74.069214
523.437500	-74.443497
524.414062	-75.198410
525.390625	-75.596039
526.367188	-75.080910
527.343750	-75.590599
528.320312	-75.043396
529.296875	-74.378906
530.273438	-75.586761
531.250000	-74.437050
532.226562	-74.270493
533.203125	-73.889137
534.179688	-75.199112
535.156250	-74.606209
536.132812	-74.253166
537.109375	-75.301445
538.085938	-75.581551
539.062500	-74.467010
540.039062	-75.252663
541.015625	-75.102158
541.992188	-75.127754
542.968750	-74.393127
543.945312	-75.435028
544.921875	-75.353058
545.898438	-75.677284
546.875000	-75.782608
547.851562	-74.598625
548.828125	-75.393433
549.804688	-75.659019
550.781250	-74.922340
551.757812	-75.768501
552.734375	-74.986969
553.710938	-74.833717
554.687500	-74.462509
555.664062	-74.933350
556.640625	-74.554039
557.617188	-74.800446
558.593750	-75.046211
559.570312	-74.973633
560.546875	-75.714592
561.523438	-75.553177
562.500000	-75.654694
563.476562	-73.891212
564.453125	-74.380173
565.429688	-76.359474
566.406250	-76.490562
567.382812	-74.795280
568.359375	-74.909615
569.335938	-75.165962
570.312500	-74.272255
571.289062	-75.731087
572.265625	-74.962875
573.242188	-75.273262
